expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
2021-05-27,Facebook,FaceBook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-28,Facebook,FaceBook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-28,Facebook,FaceBook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-21,Facebook,FaceBook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-31,Facebook,FaceBook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,100,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-05,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-05,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-07,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,80,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-08,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-15,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-28,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-29,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-30,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-31,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-01,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,20,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-03,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-05,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-05,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-09,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-11,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-12,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-12,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-13,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-14,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-15,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-15,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-15,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-18,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-18,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-20,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-25,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,60,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-25,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,50,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-25,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-05,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-05,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-05,FACEBOOK,FaceBook,1 HACKER WAY  MELNO PARK  California 94205,Business/Group/Organization,200,Jain  Ashwani Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
